strategy,n,CAGR,MDD,Sharpe,Sharpe_SE,Exposure,CAGR_per_exposure,Sharpe_CI95_lo,Sharpe_CI95_hi
Pooled GBDT,55,0.10210422027885713,-0.20246997895237873,0.4551323403942685,0.46911081698418616,1.0,0.10210422027885713,-0.45082900398048975,1.507906595915939
Pooled ridge,55,0.15763589040196568,-0.17783033842718765,0.7836307443752287,0.4730373533543151,1.0,0.15763589040196568,-0.14136742491856194,1.8190314477390772
Momentum,55,0.17661590105700076,-0.08936169538164251,1.0629571010988295,0.4779680266862326,0.9563636363636363,0.1846744212573202,0.13423728064524923,2.2624227348192107
SPY,55,0.13847290537203039,-0.20246997895237873,0.6643581243307195,0.4713748915032226,1.0,0.13847290537203039,-0.20507796382573967,1.7391331800547705
Equal-weight 13 ETFs,55,0.12559376679476908,-0.14197475918855385,0.8307275071832746,0.47376737858449763,0.9999999999999999,0.1255937667947691,-0.04729921088742147,1.8970120289668206
