Date,SCHG,SPMO,AVUV,SPHQ,IDMO,AVDV,FRDM,DBMF,PDBC,BIL,IEF,TLT,GLD,SPY
2002-07-01,,,,,,,,,,,,,,62.46680450439453
2002-07-02,,,,,,,,,,,,,,61.14052963256836
2002-07-03,,,,,,,,,,,,,,61.488216400146484
2002-07-05,,,,,,,,,,,,,,63.934593200683594
2002-07-08,,,,,,,,,,,,,,63.136314392089844
2002-07-09,,,,,,,,,,,,,,61.54612731933594
2002-07-10,,,,,,,,,,,,,,59.305789947509766
2002-07-11,,,,,,,,,,,,,,59.78864288330078
2002-07-12,,,,,,,,,,,,,,59.13197326660156
2002-07-15,,,,,,,,,,,,,,59.44740676879883
2002-07-16,,,,,,,,,,,,,,58.30146789550781
2002-07-17,,,,,,,,,,,,,,58.417354583740234
2002-07-18,,,,,,,,,,,,,,56.52460861206055
2002-07-19,,,,,,,,,,,,,,54.535335540771484
2002-07-22,,,,,,,,,,,,,,52.91938781738281
2002-07-23,,,,,,,,,,,,,,51.47085952758789
2002-07-24,,,,,,,,,,,,,,54.541748046875
2002-07-25,,,,,,,,,,,,,,54.07819747924805
2002-07-26,,,,,,,,,,,,,,55.10826873779297
2002-07-29,,,,,,,,,,,,,,57.79286575317383
2002-07-30,,,,,,,,,,,40.1385612487793,35.55565643310547,,58.546112060546875
2002-07-31,,,,,,,,,,,40.506744384765625,35.99616241455078,,58.68773651123047
2002-08-01,,,,,,,,,,,40.673648834228516,36.20112609863281,,57.15554428100586
2002-08-02,,,,,,,,,,,40.987754821777344,36.57191467285156,,55.87440872192383
2002-08-05,,,,,,,,,,,41.19395065307617,36.733253479003906,,53.93015670776367
2002-08-06,,,,,,,,,,,40.860172271728516,36.419246673583984,,55.74562454223633
2002-08-07,,,,,,,,,,,40.987754821777344,36.506465911865234,,56.717750549316406
2002-08-08,,,,,,,,,,,40.845455169677734,36.506465911865234,,58.55253982543945
2002-08-09,,,,,,,,,,,41.14976501464844,37.021148681640625,,58.77143096923828
2002-08-12,,,,,,,,,,,41.233219146728516,37.24797439575195,,58.34009552001953
