strategy,n,CAGR,MDD,Sharpe,Sharpe_SE,Exposure,CAGR_per_exposure,CI95_lo,CI95_hi
Momentum,163,0.1386777812766935,-0.13062316738382596,1.1016561332209447,0.27810514759016086,0.9791411042944785,0.14163206985025714,0.5616002093056018,1.7444629945531416
Pooled ridge,163,0.11818031546063668,-0.2199401765499137,0.7362126782503398,0.2743760859230102,1.0,0.11818031546063668,0.20966504433204816,1.3019790494787349
Pooled GBDT,163,0.12619159449879636,-0.2392716913563715,0.7906735015579138,0.27484052590763175,1.0,0.12619159449879636,0.2316921802004846,1.3863264304142224
SPY,163,0.14712289200095352,-0.2392716913563715,0.9262213557126633,0.2761361693954622,1.0,0.14712289200095352,0.3710097938425869,1.526638184100164
Equal-weight (PIT),163,0.07990457004476004,-0.14424871221526558,0.771666216355123,0.27467475886558,0.9999999999999998,0.07990457004476005,0.22798094218558795,1.3680040311437072
