,Pooled GBDT,Pooled ridge,Momentum
2022-01-31,0.4505494505494505,0.3186813186813187,0.12087912087912088
2022-02-28,0.2707223638538166,0.6703296703296703,0.43956043956043955
2022-03-31,0.2283358418705027,0.1043956043956044,0.38461538461538464
2022-04-30,0.21428571428571427,0.10989010989010989,0.14835164835164835
2022-05-31,-0.5144434027684821,-0.39560439560439564,0.021978021978021976
2022-06-30,-0.33333459818026473,-0.2857142857142857,-0.6868131868131868
2022-07-31,0.4704268549380237,0.021978021978021976,0.7417582417582418
2022-08-31,0.016483516483516484,0.005494505494505494,0.6813186813186813
2022-09-30,0.23757268664722683,0.12637362637362637,-0.09890109890109891
2022-10-31,-0.475928923416831,-0.2692307692307692,-0.6703296703296703
2022-11-30,-0.5934065934065934,-0.6648351648351648,0.06043956043956044
2022-12-31,0.3681318681318681,0.5054945054945055,-0.21428571428571427
2023-01-31,-0.4008918628686366,-0.40659340659340654,-0.15934065934065936
2023-02-28,0.0,-0.005494505494505494,-0.6648351648351648
2023-03-31,-0.037062465833055065,0.30769230769230765,0.40659340659340654
2023-04-30,-0.34156502553198664,0.0934065934065934,0.12637362637362637
2023-05-31,0.43915503282683993,0.06593406593406594,-0.021978021978021976
2023-06-30,0.6563650038774296,0.6043956043956044,0.4230769230769231
2023-07-31,-0.760638829255665,-0.32967032967032966,-0.24725274725274726
2023-08-31,-0.50709255283711,-0.027472527472527472,-0.17032967032967034
2023-09-30,-0.1267731382092775,-0.027472527472527472,-0.24725274725274726
2023-10-31,-0.6338656910463875,-0.39560439560439564,-0.12087912087912088
2023-11-30,0.47847437646934543,0.5274725274725275,0.21428571428571427
2023-12-31,-0.2672612419124244,-0.24175824175824176,0.04395604395604395
2024-01-31,0.17094086468945693,0.6373626373626374,0.6978021978021978
2024-02-29,-0.1580316335301873,0.21978021978021978,0.2087912087912088
2024-03-31,-0.34188172937891387,-0.510989010989011,-0.3736263736263736
2024-04-30,0.5120330284052214,0.3021978021978022,0.6428571428571429
2024-05-31,0.05698028822981897,0.15384615384615383,0.21428571428571427
2024-06-30,0.35186577527449836,-0.24175824175824176,-0.3131868131868132
2024-07-31,0.11483385035264292,0.39010989010989006,0.5439560439560439
2024-08-31,-0.06869130796486816,0.33516483516483514,0.4945054945054945
2024-09-30,0.07466446517920453,0.21978021978021978,0.21978021978021978
2024-10-31,-0.16389639063148054,0.34065934065934067,0.47802197802197804
2024-11-30,-0.42912973057312126,-0.4835164835164835,-0.4230769230769231
2024-12-31,-0.00632139541241014,0.46703296703296704,0.4505494505494505
2025-01-31,-0.10585984987934428,-0.26373626373626374,-0.2747252747252747
2025-02-28,0.37912087912087916,-0.027472527472527472,0.0934065934065934
2025-03-31,0.39560439560439564,0.7362637362637362,0.6373626373626374
2025-04-30,0.4413830891460709,0.7692307692307693,0.07692307692307691
2025-05-31,0.3163689375314194,0.5164835164835164,0.0879120879120879
2025-06-30,0.2947669587213911,0.016483516483516484,-0.07692307692307691
2025-07-31,-0.06327378750628389,0.5824175824175823,0.2802197802197803
2025-08-31,0.16574838603294895,0.3131868131868132,0.39010989010989006
2025-09-30,-0.08575585429734289,-0.07142857142857142,0.016483516483516484
2025-10-31,0.054945054945054944,0.054945054945054944,0.09890109890109891
2025-11-30,0.510989010989011,0.5934065934065934,0.6208791208791209
2025-12-31,0.7345261419207739,0.5989010989010989,0.6373626373626374
2026-01-31,0.7125178680055446,0.6153846153846153,0.6923076923076923
2026-02-28,-0.521978021978022,-0.510989010989011,-0.6428571428571429
2026-03-31,0.40388241056167945,0.2692307692307692,0.054945054945054944
2026-04-30,0.26373626373626374,0.2802197802197803,0.06043956043956044
2026-05-31,0.2967032967032967,0.11538461538461539,0.12637362637362637
2026-06-30,-0.3186813186813187,-0.3681318681318681,-0.3516483516483516
2026-07-31,0.6263736263736264,0.6978021978021978,0.08241758241758242
