fold,n_train_months,IC_in_sample,n_oos_months,IC_oos,IC_oos_hit
test_2022-01-01,9,0.8968253968253967,12,-0.0686813186813187,0.5
test_2023-01-01,21,0.815541601255887,12,-0.061813186813186816,0.4166666666666667
test_2024-01-01,33,0.855977355977356,12,0.1762820512820513,0.75
test_2025-01-01,44,0.837912087912088,12,-0.03846153846153847,0.5
test_2026-01-01,56,0.7688383045525903,7,-0.08555729984301415,0.42857142857142855
