fold,n_train_rows,n_val_rows,gbdt_best_iter,gbdt_val_mse,ridge_alpha,ridge_val_mse,zero_pred_val_mse
test_2022-01-01,2158,1404,17,0.0008816966747139949,10000.0,0.0008933641702937777,0.0009759600634965716
test_2023-01-01,5434,1391,1,0.002618801553524872,1000000.0,0.0026172644017425774,0.00261341139626538
test_2024-01-01,8697,1378,1,0.0012901921609917595,1000000.0,0.0012902331127410595,0.0012897487231640827
test_2025-01-01,11947,1404,16,0.0011385307829124228,10000.0,0.0011448043613279761,0.001224939358854944
test_2026-01-01,15197,1404,26,0.0007282608290137734,10000.0,0.0006833312367640199,0.0007102010360330493
