strategy,n,CAGR,MDD,Sharpe,Sharpe_SE,Exposure,CAGR_per_exposure,Sharpe_CI95_lo,Sharpe_CI95_hi,Sharpe_raw
LSTM ensemble,55,0.08659441104035848,-0.2340422318709805,0.3704490228957345,0.46843290466060056,1.0,0.08659441104035848,-0.5192074217893897,1.3713477697463388,0.6224825662344874
Ridge (linear),55,0.09327694669760755,-0.18861661524110196,0.4142672021542161,0.4687664403398726,1.0,0.09327694669760755,-0.4777419388926589,1.3786963671941996,0.6719403126556672
Momentum,55,0.17661590105700076,-0.08936169538164251,1.0629571010988295,0.4779680266862326,0.9563636363636363,0.1846744212573202,0.13423728064524923,2.2624227348192107,1.3679453874440404
SPY,55,0.13847290537203039,-0.20246997895237873,0.6643581243307195,0.4713748915032226,1.0,0.13847290537203039,-0.20507796382573967,1.7391331800547705,0.9062575509565602
Equal-weight 13 ETFs,55,0.12559376679476908,-0.14197475918855385,0.8307275071832746,0.47376737858449763,0.9999999999999999,0.1255937667947691,-0.04729921088742147,1.8970120289668206,1.198311816496266
