fold,n_months,base_Sharpe,grid_median,pctile
test_2022-01-01,12,0.022202296011813793,-0.0009045189804091046,0.5
test_2023-01-01,12,0.1015107165084205,-0.08730049551807031,0.8666666666666667
test_2024-01-01,12,1.7809493506159215,1.566923411962266,0.8
test_2025-01-01,12,3.282964544605128,3.2928793738147313,0.4666666666666667
test_2026-01-01,7,0.4727976015609216,0.28579243270338517,0.5666666666666667
