,IC_LSTM,IC_baseline,segment
2021-06-30,0.7912087912087913,-0.2857142857142857,train
2021-07-31,0.7637362637362637,0.2967032967032967,train
2021-08-31,0.9120879120879121,-0.18131868131868134,train
2021-09-30,0.8351648351648352,0.6263736263736264,train
2021-10-31,0.8791208791208791,-0.5824175824175823,train
2021-11-30,0.9120879120879121,0.3516483516483516,train
2021-12-31,0.9340659340659341,-0.2747252747252747,train
2022-01-31,0.945054945054945,0.12087912087912088,train
2022-02-28,0.8406593406593407,0.43956043956043955,train
2022-03-31,0.9395604395604396,0.38461538461538464,train
2022-04-30,0.6868131868131868,0.14835164835164835,train
2022-05-31,0.989010989010989,0.021978021978021976,train
2022-06-30,0.9615384615384615,-0.6868131868131868,train
2022-07-31,0.7032967032967032,0.7417582417582418,train
2022-08-31,0.9175824175824175,0.6813186813186813,train
2022-09-30,0.9505494505494506,-0.09890109890109891,train
2022-10-31,0.9230769230769231,-0.6703296703296703,train
2022-11-30,0.9725274725274725,0.06043956043956044,train
2022-12-31,0.9560439560439561,-0.21428571428571427,train
2023-01-31,0.8956043956043955,-0.15934065934065936,train
2023-02-28,0.9560439560439561,-0.6648351648351648,train
2023-03-31,0.8406593406593407,0.40659340659340654,train
2023-04-30,0.7582417582417583,0.12637362637362637,train
2023-05-31,0.8461538461538461,-0.021978021978021976,train
2023-06-30,0.8791208791208791,0.4230769230769231,train
2023-07-31,0.945054945054945,-0.24725274725274726,train
2023-08-31,0.8076923076923077,-0.17032967032967034,train
2023-09-30,0.8461538461538461,-0.24725274725274726,train
2023-10-31,0.9725274725274725,-0.12087912087912088,train
2023-11-30,0.9615384615384615,0.21428571428571427,train
2023-12-31,0.8681318681318682,0.04395604395604395,train
2024-01-31,0.945054945054945,0.6978021978021978,train
2024-02-29,0.8406593406593407,0.2087912087912088,train
2024-03-31,0.9340659340659341,-0.3736263736263736,train
2024-04-30,0.5714285714285714,0.6428571428571429,train
2024-05-31,-0.04395604395604395,0.21428571428571427,val
2024-06-30,-0.08241758241758242,-0.3131868131868132,val
2024-07-31,0.03296703296703297,0.5439560439560439,val
2024-08-31,-0.21428571428571427,0.4945054945054945,val
2024-09-30,0.3186813186813187,0.21978021978021978,val
2024-10-31,0.37912087912087916,0.47802197802197804,val
2024-11-30,-0.33516483516483514,-0.4230769230769231,val
2024-12-31,0.8736263736263737,0.4505494505494505,val
2025-01-31,-0.5384615384615384,-0.2747252747252747,val
2025-02-28,0.08241758241758242,0.0934065934065934,val
2025-03-31,-0.010989010989010988,0.6373626373626374,val
2025-04-30,0.2857142857142857,0.07692307692307691,val
2025-05-31,-0.24725274725274726,0.0879120879120879,test
2025-06-30,0.13736263736263735,-0.07692307692307691,test
2025-07-31,-0.38461538461538464,0.2802197802197803,test
2025-08-31,0.33516483516483514,0.39010989010989006,test
2025-09-30,0.3516483516483516,0.016483516483516484,test
2025-10-31,0.3681318681318681,0.09890109890109891,test
2025-11-30,-0.12637362637362637,0.6208791208791209,test
2025-12-31,-0.07692307692307691,0.6373626373626374,test
2026-01-31,-0.2912087912087912,0.6923076923076923,test
2026-02-28,0.2582417582417582,-0.6428571428571429,test
2026-03-31,0.24725274725274726,0.054945054945054944,test
2026-04-30,-0.521978021978022,0.06043956043956044,test
