Date,SCHG,SPMO,AVUV,SPHQ,IDMO,AVDV,FRDM,DBMF,PDBC,BIL,IEF,TLT,GLD,SPY
2019-09-26,10.189888954162598,37.72307205200195,44.864845275878906,30.455339431762695,21.918546676635742,40.295249938964844,21.82269287109375,18.120025634765625,7.908014297485352,76.03936767578125,94.42736053466797,115.6019287109375,141.7899932861328,268.72943115234375
2019-09-27,10.072724342346191,37.32574462890625,44.678958892822266,30.291654586791992,21.860477447509766,40.131980895996094,21.65548324584961,18.099014282226562,7.893028259277344,76.03936767578125,94.56199645996094,115.8861312866211,141.05999755859375,267.28179931640625
2019-09-30,10.147613525390625,37.59247589111328,44.78351593017578,30.50082015991211,21.88536262512207,40.051570892333984,21.806398391723633,18.192276000976562,7.803106784820557,76.04767608642578,94.63773345947266,116.17027282714844,138.8699951171875,268.521240234375
2019-10-01,10.055816650390625,37.21553421020508,43.84693908691406,30.155241012573242,21.694555282592773,39.89725112915039,21.687211990356445,18.18439292907715,7.793115139007568,76.04517364501953,94.89984893798828,116.51995849609375,139.6300048828125,265.3273620605469
2019-10-02,9.896369934082031,36.611656188964844,43.21689224243164,29.56414222717285,21.288043975830078,39.29212951660156,21.387941360473633,18.210662841796875,7.733168125152588,76.04517364501953,95.22848510742188,116.80462646484375,141.25999450683594,260.6403503417969
2019-10-03,9.997831344604492,36.923797607421875,43.1900749206543,29.864242553710938,21.47056007385254,39.37172317504883,21.614320755004883,18.317060470581055,7.733168125152588,76.07013702392578,95.72566223144531,117.87013244628906,141.89999389648438,262.7758483886719
2019-10-04,10.139159202575684,37.5220947265625,43.53593444824219,30.309839248657227,21.702852249145508,39.60483932495117,21.832124710083008,18.385360717773438,7.778128147125244,76.07013702392578,95.91104888916016,118.74046325683594,141.89999389648438,266.3316650390625
2019-10-07,10.10654354095459,37.350746154785156,43.48677444458008,30.182518005371094,21.74433135986328,39.50331115722656,21.690643310546875,18.300634384155273,7.778128147125244,76.07845306396484,95.59083557128906,117.75627899169922,140.69000244140625,265.18255615234375
2019-10-08,9.955557823181152,36.8330192565918,42.69229507446289,29.664169311523438,21.536924362182617,39.17435836791992,21.656339645385742,18.293413162231445,7.7681379318237305,76.07845306396484,95.7931137084961,118.0735092163086,141.9199981689453,261.065673828125
2019-10-09,10.070305824279785,37.23312759399414,43.066741943359375,29.98246192932129,21.711145401000977,39.3156852722168,21.766956329345703,18.25204086303711,7.798111915588379,76.07845306396484,95.5486831665039,117.4066162109375,142.0500030517578,263.5449523925781
