track,,n,CAGR,MDD,Sharpe,Sharpe_SE
主軌 VTI+VEU,Momentum (all-in),218.0,0.11131235376562643,-0.4373670837384416,0.6451808177596914,0.23664444299996548
主軌 VTI+VEU,Static tilt w=0.77,218.0,0.10743006905960684,-0.4399841445372953,0.6396673208562035,0.2366101111154052
主軌 VTI+VEU,VT,218.0,0.08947181489077716,-0.4595752155272499,0.5258588381917138,0.2359663301947132
主軌 VTI+VEU,VTI buy & hold,218.0,0.1224537201448852,-0.42316608651283893,0.7238604659843051,0.2371658633316586
主軌 VTI+VEU,VEU buy & hold,218.0,0.056860929640424995,-0.5063433685943448,0.3295932210073864,0.23514894602142336
對照軌 VTI+VXUS,Momentum (all-in),175.0,0.13256508739963246,-0.2902623759396582,0.8312772017377777,0.26560454915493653
對照軌 VTI+VXUS,Static tilt w=0.80,175.0,0.1318995335533113,-0.2515106738611914,0.8509195909407453,0.26578221025196425
對照軌 VTI+VXUS,VT,175.0,0.11415569841553697,-0.2550929132995249,0.742025777551087,0.2648482166640804
對照軌 VTI+VXUS,VTI buy & hold,175.0,0.14477399199018381,-0.24819146916839985,0.9109127945618246,0.2663497277710343
對照軌 VTI+VXUS,VXUS buy & hold,175.0,0.07952511995917133,-0.2775333163315138,0.4994880071007507,0.2632190194454447
