Date,LSTM ensemble,Ridge (linear),Momentum,SPY
2022-02-28,-0.030133862980002847,0.006680327069246975,0.014358582130623401,-0.029517140721711077
2022-03-31,0.030662128183680394,0.03680751502951973,0.039356343127903204,0.03759042568441284
2022-04-30,-0.09700653472322433,-0.049502060944390754,-0.004833204288788729,-0.08776916241777721
2022-05-31,-0.0012964886894176076,0.03298365883702523,0.00033861318747041585,0.002257232628549044
2022-06-30,-0.08569367570990429,-0.10741934729839417,-0.033631099761348954,-0.08246031912993013
2022-07-31,0.07955920668014507,0.05742827645136668,-0.011944673728813405,0.09208741220512406
2022-08-31,-0.04256405109207114,-0.030608178748532305,-0.0016975311916709976,-0.04080180213632367
2022-09-30,-0.10085382993742767,-0.09665654988179531,-0.0019582096387091405,-0.09244598796499348
2022-10-31,0.08521380045754344,0.07913353009821421,0.002061783630001002,0.08127534252652668
2022-11-30,0.09035054771236287,0.0742401692041474,-0.004164798770562151,0.05559157796374059
2022-12-31,-0.03579886601460991,-0.040176360439149544,-0.024218851071224082,-0.05762809868682006
2023-01-31,0.0780190817334255,0.07229675486075413,0.04502894215993673,0.06288743845012479
2023-02-28,-0.019113757772747774,-0.02723772125787947,-0.03375440205990468,-0.025142667332053947
2023-03-31,-0.011704064972787288,-0.025638211338191396,-0.012532789872382778,0.03707763885836357
2023-04-30,0.01085697735340092,0.003140946689351255,0.016163795220087176,0.0159750386226023
2023-05-31,-0.032467109515127344,-0.02886236053824525,-0.012904669961522841,0.0046162456073479685
2023-06-30,0.03269935507608483,0.05556029066312927,0.03307923984486525,0.06479967181272217
2023-07-31,0.016706035457902457,0.05512326672038386,0.04735131642920796,0.032733520857563425
2023-08-31,-0.006900981337055635,-0.028661808145601417,-0.025987121675824842,-0.016252064110643616
2023-09-30,-0.003102127488530626,-0.01102732943095952,-0.031504311240190506,-0.04743456807969415
2023-10-31,-0.01240811053219173,-0.023355730006673438,-0.030264013667006887,-0.021708752988095825
2023-11-30,0.03173049816801332,0.0397089785965689,0.06017410293165328,0.0913438405382303
2023-12-31,0.023456345490014387,0.03599620019452203,0.04919076902504806,0.04565554791725823
2024-01-31,0.007499249251338115,-0.01388735602715232,0.003058980409028412,0.01592634965058326
2024-02-29,0.05348232331670295,0.033762774556367135,0.06103015486344342,0.05218693017589415
2024-03-31,0.020941071327605167,0.039956939364402325,0.04388723049374836,0.032702028049769405
2024-04-30,-0.03977559622425948,-0.029064215885103,-0.04718832005387505,-0.04031973526822219
2024-05-31,0.04739383729469386,0.04136276099775349,0.05532756169001579,0.050579581237917504
2024-06-30,0.01915544160633365,0.021750077223535235,0.030724168811790478,0.035280129180037534
2024-07-31,0.012647632535072019,0.01532000071533373,0.012524582010756328,0.012109147019452093
2024-08-31,0.02117869473029632,-0.0004966445245765394,0.025473867414563277,0.02336565182317729
2024-09-30,0.018861792238158027,0.013503331810037312,0.018277949890034575,0.021004710308786922
2024-10-31,-0.01188283824827976,-0.01299942385724726,-0.007373905151947114,-0.008923604006773722
2024-11-30,0.06165301568080871,0.034884329590308384,0.05395805025103196,0.0596333630046233
2024-12-31,-0.029746532137480887,-0.028580673320290906,-0.026937389532386297,-0.024060018069341216
2025-01-31,0.02741320434293076,0.028384589602698764,0.04015537809954543,0.026856346816883425
2025-02-28,-0.012642965898119217,-0.02163193800131282,0.001965113254081841,-0.012694718498254765
2025-03-31,-0.06420495666739048,-0.06380495666739049,-0.020126498900359734,-0.05571930439034134
2025-04-30,-0.005430303692339744,-0.006885921460526557,0.01733326299651446,-0.008670288132596515
2025-05-31,0.0642176899055535,0.06448224979536774,0.05776712554218298,0.06284502035562056
2025-06-30,0.0531444306110458,0.04250609722321653,0.04616404695599989,0.051386029816606005
2025-07-31,0.023265462748681246,0.020115515261861106,0.004416156078614253,0.023031769525502677
2025-08-31,0.01968820096826014,0.02048820096826014,0.04035176388805191,0.02051934499471919
2025-09-30,0.03403857876031955,0.02357662463102672,0.05794817946201576,0.035620461449873186
2025-10-31,0.015929383882252266,0.014439608314924104,0.0353116199527785,0.023837409863407766
2025-11-30,0.0008211667493330148,0.00462416302300257,0.011761551134672612,0.0019500531676446275
2025-12-31,-0.0007471929587974372,0.002358468178295148,0.031787919649017865,0.0007974069154037533
2026-01-31,0.009251512976851518,0.03682310191564513,0.08107925677031864,0.014737793329742122
2026-02-28,-0.014127595365509027,0.021099037990929628,0.07528619674154498,-0.008641994294614319
2026-03-31,-0.010012611957480601,-0.058243751096937864,-0.08934733816003389,-0.04937951897005721
2026-04-30,0.1032261525669179,0.11534410504611975,0.0564759166654706,0.10505264083288113
2026-05-31,-0.011817540439850928,0.03584121259501104,0.05212329162468458,0.05262574755586291
2026-06-30,-0.044944069051322,-0.013895393538609736,-0.004832317409248766,-0.010292580956815511
2026-07-31,0.027654346338435422,-0.02850990949505854,-0.05183199654942047,0.00034822442006920973
2026-08-31,0.038480729607511546,0.029430158623218364,0.042211086991526245,0.026799359784972054
